1.	После окончания школы Разрушения, какую школу вы выбрали для второй специализации?
a.	Восстановления
	#4250
	22 +12
	23 +6
b.	Иллюзии
	#4251
	22 +12
	24 +6
c.	Изменения
	#4252
	22 +12
	25 +6
d.	Тауматургии
	#4253
	22 +12
	26 +6
e.	Мистицизма
	#4254
	22 +12
	27 +6

2.	Ради чего вы ведете жизнь полную приключений?
a.	богатств
	#4255
	GP +500
b.	славы
	#4256
	r4 +10
	r2 +10
c.	знаний
	#4257
	IT 7 0 0
d.	веселого времяпровождения
	#4258
	1 +3
	2 +3
e.	помощи другим
	#4259
	r0 +10

3.	Свое свободное время вы тратили на ___.
a.	общение с аристократами
	#4260
	1 +6
	r3 +5
	r0 -5
b.	изучение жизни улиц
	#4261
	2 +6
	r0 +2
	r4 +3
	r3 -5
c.	акробатические тренировки
	#4262
	3 +2
	20 +2
	18 +2
d.	изучение экономики
	#4263
	14 +6
e.	плавание
	#4265
	17 +6
f.	спарринги
	#4266
	30 +6

4.	С детства вы сохранили ___.
a.	100 золотых монет
	#4167
	GP +100
b.	любимую книгу
	#4168
	IT 7 0 0
c.	кирасу
	#4169
	IT 2 0 0
d.	катану
	#4193
	IT 3 8 0

5.	В награду за оказанные услуги император дал вам ___.
a.	свыше 200 золотых монет
	#4172
	GP +250
b.	эбонитовый кинжал
	#4173
	IT 3 0 7
c.	книгу
	#4174
	IT 7 0 0
d.	рубин
	#4175
	IT 14 0 0
e.	серебряный посох
	#4176
	IT 3 2 2
f.	жемчужину
	#4191
	IT 22 1 0

6.	Когда вы стали старше, вы получили дополнительные магические знания в ___.
a.	школе Разрушения
	22 +6
b.	школе Восстановления
	23 +6
c.	школе Иллюзии
	24 +6
d.	школе Изменения
	25 +6
e.	школе Тауматургии
	26 +6
f.	школе Мистицизма
	27 +6

7.	В детстве вашим прозвищем было ___.
a.	Кролик
	3 +6
b.	Рыбка
	17 +6
c.	Живчик
	21 +6
d.	Задира
	30 +6
e.	Обезьяна
	18 +6

8.	Больше всего вы дружелюбны с ___.
a.	дикими гарпиями
	5 +6
b.	простодушными великанами
	6 +6
c.	блистательными драконами
	7 +6
d.	развязными нимфами
	8 +6
e.	жестокими даэдра
	9 +6
f.	пасторальными древолюдьми
	10 +6
g.	первобытными кентаврами
	11 +6
h.	вредными бесами
	12 +6

9.	Из всех неприятных типов вы больше всего ненавидите ___.
a.	ханжей-священников
	AE M 8 12 +3
b.	дьявольских волшебников
	AE M 8 2 +4
c.	глупых крестьян
	AE M 8 8 +3
d.	беспредельщиков баронов
	AE M 8 17 +4
e.	аморальных ассассинов
	AE M 8 11 +2

10.	Вашим близким другом был ___.
a.	монах
	AF O 8 12 +1
b.	маг
	AF O 8 2 +1
c.	жулик
	AF O 8 8 +1
d.	воин
	AF O 8 17 +1
e.	ассассин
	AF O 8 11 +1

11.	Какому богу вы поклоняетесь?
a.	нет такого
	r2 +5
b.	Аркею, богу жизни и смерти
	rf82 +5
c.	Зенитару, богу коммерции
	rf84 +5
d.	Маре, богине-матери
	rf88 +5
e.	Дибелле, богине красоты
	rf98 +5
f.	Джулианосу, богу логики
	rf94 +5
g.	Акатошу, богу времени
	rf92 +5
h.	Стендарру, богу милосердия
	rf106 +5
i.	Кинарет, богине воздуха
	rf36 +5

12.	Вам труднее всего ___.
a.	сопротивляться ядам
	RP -10
b.	стоять на посту
	FT -5
c.	быть в толпе
	RR -5
d.	избегать болезней
	RD -5
e.	сопротивляться магии
	MR -5
f.	сражаться без магии
	TH -5

