- Text database for game settings window.

schema: *key,$text

- Tabs and section titles

gamePlay,                                           "Игра"
interface,                                          "Интерфейс"
enhancements,                                       "Улучшения"
video,                                              "Видео"
accessibility,                                      "Доступность"

game,                                               "Игра"
controls,                                           "Управление"
audio,                                              "Звук"
spells,                                             "Заклинания"
tooltips,                                           "Подсказки"
hud,                                                "Интерфейс игрока"
gui,                                                "Графический интерфейс"
light,                                              "Освещение"
basic,                                              "Базовые"
advanced,                                           "Продвинутые"
automap,                                            "Автокарта"
dungeonmicromap,                                    "Микрокарта подземелья"

- Settings and tooltip descriptions

startInDungeon,                                     "Начать в подземелье"
startInDungeonInfo,                                 "Начать новую игру внутри первого подземелья"
smallerDungeons,                                    "Меньшие подземелья"
smallerDungeonsInfo,                                "Случайные подземелья будут иметь только\rодин внутренний блок и четыре граничных блока"
randomDungeonTextures,                              "Текстуры подземелья"
randomDungeonTexturesInfo,                          "Генерирует таблицу текстур подземелья случайным образом"
cameraRecoilStrength,                               "Сила отдачи камеры"
cameraRecoilStrengthInfo,                           "Сила отдачи экрана при получении игроком урона. Масштабируется в зависимости от урона."
mouseSensitivity,                                   "Чувствительность мыши"
mouseSensitivityInfo,                               "Чувствительность при перемещении мыши."
weaponSensitivity,                                  "Чувствительность оружия"
weaponSensitivityInfo,                              "Чувствительность движения оружия к движениям мыши"
movementAcceleration,                               "Ускорение движения"
movementAccelerationInfo,                           "Добавляет небольшое ускорение/замедление во время движения"
weaponAttackThreshold,                              "Порог атаки оружия"
weaponAttackThresholdInfo,                          "Минимальное расстояние перемещения мыши для атаки"
soundFont,                                          "SoundFont"
soundFontInfo,                                      "Активный SoundFont"
alternateMusic,                                     "Альтернативная музыка"
alternateMusicInfo,                                 "Использовать оптимизированную версию саундтрека для OPL3."
soundVolume,                                        "Громкость звука"
soundVolumeInfo,                                    "Громкость звука."
musicVolume,                                        "Громкость музыки"
musicVolumeInfo,                                    "Громкость музыки."
spellLighting,                                      "Освещение заклинаний"
spellLightingInfo,                                  "Включить освещение заклинаний"
spellShadows,                                       "Тени заклинаний"
spellShadowsInfo,                                   "Включить тени заклинаний"
instantRepairs,                                     "Мгновенные услуги по ремонту"
instantRepairsInfo,                                 "Отключает ожидание ремонта и делает его мгновенным"
bowDrawback,                                        "Луки - натяжение и выстрел"
bowDrawbackInfo,                                    "Включает натяжение лука при зажатии правой кнопки мыши.\rЧтобы выпустить стрелу, отпустите мышь"
toggleSneak,                                        "Переключение скрытности"
toggleSneakInfo,                                    "Позволяет переключать действие 'Скрытность' вместо удержания."

toolTips,                                           "Подсказки"
toolTipsInfo,                                       "Показывает информацию о элементах графического интерфейса"
toolTipDelayInSeconds,                              "Задержка"
toolTipDelayInSecondsInfo,                          "Задержка подсказки в секундах"
toolTipTextColor,                                   "Цвет текста"
toolTipTextColorInfo,                               "Цвет шрифта для текста подсказок"
toolTipBackgroundColor,                             "Фоновый цвет"
toolTipBackgroundColorInfo,                         "Цвет фона для подсказок"
crosshair,                                          "Прицел"
crosshairInfo,                                      "Включить прицел на графическом интерфейсе"
vitalsIndicators,                                   "Индикаторы"
vitalsIndicatorsInfo,                               "Показывать индикаторы на полосках жизненных показателей,\rкоторые отображают изменения в жизненных показателях"
interactionModeIcon,                                "Значок режима"
interactionModeIconInfo,                            "Стиль значка контекста для режима взаимодействия"
arrowCounter,                                       "Счетчик стрел"
arrowCounterInfo,                                   "Включить счетчик стрел на графическом интерфейсе при использовании луков"
showQuestJournalClocksAsCountdown,                  "Обратный отсчет"
showQuestJournalClocksAsCountdownInfo,              "Показывать оставшееся время вместо времени с начала."
inventoryInfoPanel,                                 "Информация об инвентаре"
inventoryInfoPanelInfo,                             "Панель информации об инвентаре"
enhancedItemLists,                                  "Улучшенные списки предметов"
enhancedItemListsInfo,                              "Сетка из 16 предметов в инвентаре"
enableModernConversationStyleInTalkWindow,          "Современный стиль окна разговора"
enableModernConversationStyleInTalkWindowInfo,      "Современный стиль разговора в окне разговора"
iconsPositioningScheme,                             "Макет значков баффов"
iconsPositioningSchemeInfo,                         "Размер и положение значков (де)баффов на экране"
helmAndShieldMaterialDisplay,                       "Отображение материала шлемов и щитов"
helmAndShieldMaterialDisplayInfo,                   "Показывать материалы для шлемов и щитов\rв информационных всплывающих окнах и подсказках"
geographicBackgrounds,                              "Географические фоны"
geographicBackgroundsInfo,                          "Контекстные фоны персонажей, основанные\rна географическом местоположении"
dungeonExitWagonPrompt,                             "Подсказка доступа к телеге в подземелье"
dungeonExitWagonPromptInfo,                         "Подсказка для доступа к телеге при выходе из подземелья\r(Телега всегда доступна в пределах 5 метров от выхода)"
travelMapLocationsOutline,                          "Контур локаций"
travelMapLocationsOutlineInfo,                      "Рисовать контур вокруг локаций\rна карте путешествия для улучшения видимости"
guildQuestListBox,                                  "Выбор квестов гильдии"
guildQuestListBoxInfo,                              "Предоставлять доступные квесты гильдии в виде списка для выбора"
bowLeftHandWithSwitching,                           "Лук только в левой"
bowLeftHandWithSwitchingInfo,                       "Экипировка луков в левую руку и разрешение смены одноручного оружия.\rCмена имеет короткую задержку"
loiterLimitInHours,                                 "Максимальное время ожидания в часах"
loiterLimitInHoursInfo,                             "Изменение максимального времени ожидания в часах"
automapTempleColor,                                 "Цвет гильдии"
automapTempleColorInfo,                             "Цвет храмов и гильдий на автоматической карте"
automapShopColor,                                   "Цвет магазина"
automapShopColorInfo,                               "Цвет магазинов на автоматической карте"
automapTavernColor,                                 "Цвет таверны"
automapTavernColorInfo,                             "Цвет таверн на автоматической карте"
automapHouseColor,                                  "Цвет жилых зданий"
automapHouseColorInfo,                              "Цвет жилых зданий и других объектов на автоматической карте"
dungeonMicMapQoL,                                   "Улучшения микрокарты"
dungeonMicMapQoLInfo,                               "False = Использует стандартные цвета микрокарты\rTrue = Использует цвета микрокарты с улучшенной удобностью использования"
dunMicMapInnerColor,                                "Внутренние блоки"
dunMicMapInnerColorInfo,                            "Цвет, который будут иметь внутренние блоки подземелья на микрокарте,\rесли опция улучшения установлена в True."
dunMicMapBorderColor,                               "Граничные блоки"
dunMicMapBorderColorInfo,                           "Цвет, который будут иметь граничные блоки подземелья на микрокарте,\rесли опция улучшения установлена в True."

modSystem,                                          "Система модификаций"
modSystemInfo,                                      "Включить поддержку модов."
assetInjection,                                     "Внедрение ресурсов"
assetInjectionInfo,                                 "Импортировать замены ресурсов из включенных модов и свободных файлов."
compressModdedTextures,                             "Сжатие текстур модов"
