Key,Value
22400,прекрасная девушка
22401,смуглый воин
22402,ужасный ребёнок
22403,рогатый мужчина
22404,когтистое чудовище
22405,зелёный гуманоид
22406,четырёхрукий великан
22407,смуглая женщина
22408,белокурая женщина
22409,мужчина с копытами
22410,смуглая женщина
22411,женщина в тёмном
22412,зелёный змей
22413,багровый великан
22414,элегантный джентльмен
22415,сморщенная старуха
22528,мужчина в тёмном плаще
22529,мужчина в тёмном плаще
22530,танцовщица с обнажённой грудью
22531,танцовщица с обнажённой грудью
22532,танцовщица
22533,мужчина в тёмном плаще
22534,женщина в чёрно-красном
22656,старик в капюшоне
22657,старик со шляпой
22658,лысый мужчина
22659,белокурая женщина
22660,мужчина с сияющими глазами
22661,мастер магии
22784,женщина в капюшоне
22785,мужчина в красном капюшоне
22786,мужчина в красном плаще
22787,мужчина в красном плаще
22788,мужчина с сияющими глазами
22789,танцовщица в красном капюшоне
22790,танцовщица в красном капюшоне
22912,голая темноволосая женщина
22913,голая женщина
22914,таинственная женщина
22915,танцовщица в чёрном капюшоне
22916,рыжеволосая женщина
23040,темноволосая женщина в красном
23041,дворянка в синем
23042,хорошо одетый мужчина
23043,дородный мужчина в фиолетовом
23168,мужчина в синем плаще
23169,молодая женщина в синем
23170,старик в синем плаще
23171,мальчик в синем плаще
23172,красивая блондинка
23173,танцовщица в синем
23174,танцовщица в синем плаще
23175,танцовщица в синем плаще
23296,седой старик
23297,толстый лысый мужчина
23298,светлобородый мужчина
23299,бородатый мужчина
23300,хорошо одетый мальчик
23301,шут
23302,шут
23303,седобородый мужчина
23304,мужчина в поварском колпаке
23305,женщина в сером
23306,женщина в синем
23307,миловидная девушка
23308,доярка
23309,мужчина в коричневом
23310,мужчина в коричневой шляпе
23311,белокурый аристократ
23312,светлобородый мужчина
23313,белобородый мужчина
23314,коричневоволосый молодой человек
23315,мужчина в серой тунике
23316,мужчина в зелёном пальто
23317,старый нищий
23318,старик в плаще
23319,мужчина в синем пальто
23320,бородатый старик
23321,неряшливого вида моряк
23322,барышня в зелёном
23323,элегантно одетая дама
23324,женщина в синем плаще
23325,жалкий старый калека
23326,жалкий лысый мужчина
23327,жалкий лысый мужчина
23328,симпатичная шлюха
23329,проститутка
23330,белокурая шлюха
23331,неряшливый моряк
23332,заклинатель змей
23333,флейтист
23334,маленькая девочка
23335,дворник
23336,мудрый на вид мужчина
23337,замечательная женщина
23338,мальчик-паж
23339,маленький мальчик
23340,старая карга
23341,предприимчивая женщина
23342,красивый молодой человек
23343,симпатичная барышня
23344,белокурая шлюха
23345,жонглёр
23346,флейтист
23347,лютнист
23348,барабанщик
23349,молодой звонарь
23350,мужчина в капюшоне
23351,мужчина в капюшоне
23352,женщина в капюшоне
23353,почти голый мужчина
23354,почти голый мужчина
23355,кузнец
23424,королевская фрейлина
23425,королевская фрейлина
23426,стражник
23427,стражник
23428,благородного вида мужчина
23429,яркий молодой человек
23430,бородатый король
23431,король в тюрбане
23432,седая королева
23433,темноволосая королева
23434,король
23435,королева
23436,монах в рясе
23437,красивый молодой король
23438,сногсшибательная брюнетка
23439,старый слепая карга
23440,стильный толстяк
23441,потрёпанная ведьма
23442,великолепный Редгард
23443,величественнный орк
23444,король Тёмных Эльфов
23445,белокурая королева
23552,состоятельный купец
23553,женщина в плаще
23554,человек в зелёном балахоне
23555,толстый флейтист
23556,крепкий молодой человек
23557,красивая блондинка
23558,девица с голой грудью
23559,холёная блондинка
23560,белокурая распутница
23561,стройная брюнетка
23562,ослепительная блондинка
23563,голая блондинка
23564,голая брюнетка
23565,голая блондинка
23566,голая брюнетка
23567,потрёпанный юноша
23568,пухлый старик
23569,мускулистый крестьянин
23570,крепкая дьяволица
23571,привлекательная блондинка
23572,мужчина в фиолетовом
23573,бородатый старик
23574,женщина с посохом
23575,женщина в зелёных штанах
23576,темноволосый мошенник
23577,светловолосый юноша
23578,рыжеволосая женщина
23579,жалкий нищий
23580,рыжеволосая мегера
23581,блондинка в синем
23582,темнокожая женщина
23583,лысый раб
23584,смуглая воительница
23585,смуглая пышногрудая девица
23586,мужчина на лошади
25472,Свет
25473,Свет
25474,Даэдра
25475,Призыв
25476,Отдых
25477,Двор
25478,Яма
25479,Эффект
25480,Вход
25481,Путь
25482,Начать
25483,Квест
25484,Создавать
25485,Тюрьма
25486,Тюремный выход
25487,Случайный монстр
25488,Монстр
42771,Готрид
42773,Аубк-и
42752,Провлит
42753,Попудакс
42757,Циадасга
42756,Минисера
42770,Мобар
42769,Бридвелл
45703,Принц Лотун
42762,Леди Нортбридж
45711,Королева Акорити
45697,Принц Греклит
44305,Принцесса Элизана
44288,Принцесса Моргайя
44310,Королева Барензия
44309,Король Эдвир
44304,Принц Хелсет
44299,Каретис
44295,Лорд Кастеллиан
44298,женщина в синем плаще (придворная Вэйреста)
42768,стражник
44308,стражник
45709,стражник
42758,шут
44291,шут
42755,шут
42763,лютнист
42772,стильный толстяк
42759,бородатый старик
42761,мальчик-паж
42767,стражник
44307,стражник
45708,стражник
44302,мудрый на вид мужчина
45701,флейтист
45698,женщина в сером
45700,неряшливый моряк
45706,почти голый мужчина
42766,кузнец
