Key,Value
0,Рубин
1,Изумруд
2,Сапфир
3,Бриллиант
4,Нефрит
5,Бирюза
6,Малахит
7,Янтарь
8,Прутья
9,Зеленые листья
10,Красные цветы
11,Желтые цветки
12,Корневые отростки
13,Корневая луковица
14,Ветка сосны
15,Зеленые ягоды
16,Красные ягоды
17,Желтые ягоды
18,Клевер
19,Красная роза
20,Желтая роза
21,Черная роза
22,Белая роза
23,Красный мак
24,Черный мак
25,Золотой мак
26,Белый мак
27,Листья гинкго
28,Бамбук
29,Пальма
30,Алоэ
31,Инжир
32,Кактус
33,Кровь оборотня
34,Клык оборотня
35,Чешуя сказочного дракона
36,Волосы нимфы
37,Рог единорога
38,Эссенция привидения
39,Эктоплазма
40,Язык гуля
41,Яд паука
42,Кровь тролля
43,Яд змеи
44,Змея Горгона
45,Прах лича
46,Чешуя дракона
47,Гигантское жало скорпиона
48,Маленькое жало скорпиона
49,Обертки мумии
50,Кровь гиганта
51,Глаз василиска
52,Перо грифона
53,Сердце даэдра
54,Волос святого
55,Святая реликвия
56,Большой зуб
57,Средний зуб
58,Маленький зуб
59,Чистая вода
60,Дождевая вода
61,Кровь орка
62,Эликсир Жизни
63,Нектар
64,Яхонт
65,Ртуть
66,Олово
67,Латунь
68,Латунь
69,Сера
70,Свинец
71,Железо
72,Медь
73,Серебро
74,Золото
75,Платина
76,Слоновая кость
77,Жемчуг
78,Индульцет
79,Сурсум
80,Квасто Вил
81,Аэгротат
82,Стеклянная банка
83,Стеклянная бутылка
84,Декантер
85,Глиняный кувшин
86,Мешочек
87,Большой мешок
88,Колчан
89,Рюкзак
90,Сундучок
91,Винный стеллаж
92,Большой сундук
93,Малая тележка
94,Лошадь
95,Лодка
96,Большая лодка
97,Небольшое судно
98,Большой галеон
99,Документ на таунхаус
100,Документ на дом
101,Документ на поместье
102,Кираса
103,Перчатки
104,Поножи
105,Левый наплечник
106,Правый наплечник
107,Шлем
108,Сапоги
109,Баклер
110,Круглый щит
111,Турнирный щит
112,Башенный щит
113,Кинжал
114,Танто
115,Посох
116,Короткий меч
117,Вакадзаси
118,Широкий меч
119,Сабля
120,Длинный меч
121,Катана
122,Клеймор
123,Дай-катана
124,Булава
125,Кистень
126,Боевой молот
127,Боевой топор
128,Воинский топор
129,Короткий лук
130,Длинный лук
131,Стрела
132,Книга заклинаний
133,Амулет
134,Нарукавник
135,Кольцо
136,Браслет
137,Метка
138,Гривна
139,Матерчатый амулет
140,Жезл
141,Ремешки
142,Нарукавники
143,Кимоно
144,Изящные нарукавники
145,Пояс
146,Эодорик
147,Обувь
148,Высокие сапоги
149,Сапоги
150,Сандалии
151,Повседневные брюки
152,Бриджи
153,Короткая юбка
154,Повседневный плащ
155,Парадный плащ
156,Костюм каджита
157,Плащ двиннов
158,Короткая туника
159,Парадная туника
160,Тога
161,Двусторонняя туника
162,Набедренная повязка
163,Простая роба
164,Одеяния священника
165,Короткая рубашка
166,Короткая рубашка
167,Длинная рубашка
168,Длинная рубашка
169,Короткая рубашка
170,Короткая рубашка
171,Длинная рубашка
172,Длинная рубашка
173,Открытая туника
174,Покрывало
175,Длинная юбка
176,Антиклеровый плащ
177,Подтяжки
178,Короткая рубашка
179,Длинная рубашка
180,Жилет
181,Лямки чемпиона
182,Бюстгальтер
183,Парадный бюстгальтер
184,Крестьянская рубашка
185,Эодорик
186,Обувь
187,Высокие сапоги
188,Сапоги
189,Сандалии
190,Повседневные штаны
191,Повседневный плащ
192,Парадный плащ
193,Костюм каджита
194,Парадный костюм
195,Вечернее платье
196,Повседневное платье
197,Обычное платье
198,Платье без бретелек
199,Набедренная повязка
200,Простая роба
201,Одеяния жрицы
202,Короткая рубашка
203,Короткая рубашка
204,Длинная рубашка
205,Длинная рубашка
206,Короткая рубашка
207,Короткая рубашка
208,Длинная рубашка
209,Длинная рубашка
210,Открытая туника
211,Покрывало
212,Длинная юбка
213,Колготки
214,Короткая рубашка
215,Длинная рубашка
216,Жилет
217,Простая односпальная кровать
218,Изящная односпальная кровать
219,Простая двуспальная кровать
220,Изящная двуспальная кровать
221,Большой дубовый стол
222,Большой стол из вишни
223,Большой стол из красного дерева
224,Большой стол из тика
225,Маленький дубовый стол
226,Небольшой стол из вишни
227,Небольшой стол из красного дерева
228,Небольшой стол из тикового дерева
229,Дубовый стул
230,Вишневый стул
231,Стул из красного дерева
232,Тиковый стул
233,Шторы
234,Модные шторы
235,Большая подушка
236,Маленькая подушка
237,Маленький простой ковер
238,Большой простой ковер
239,Маленький изящный коврик
240,Большой тонкий ковер
241,Большой гобелен
242,Средний гобелен
243,Малый гобелен
244,Большие шкуры
245,Малые шкуры
246,Канделябры
247,Факел
248,Фонарь
249,Бинт
250,Брусчатка
251,Цветы
252,Масло
253,Свеча
254,Телескоп
255,Чешуя
256,Глобус
257,Скелет
258,Молитвенные четки
259,Редкий символ
260,Обычный символ
261,Колокольчик
262,Святая вода
263,Талисман
264,Религиозный предмет
265,Маленькая статуэтка
266,Большая статуэтка
267,Икона
268,Скарабей
269,Святая свеча
270,Священный кинжал
271,Священная книга
272,Алтарь
273,Купель
274,Ловушка душ
275,Вексель
276,Золото
277,Книга
278,Рецепт зелья
279,Пергамент
280,Тотем
281,Мертвое тело
282,Мантелла
283,Палец
284,Картина
285,Договор на дом
286,Договор на корабль
287,Карта
