Key,Value,Original
1001,Мантеллан Крукс,Mantellan Crux
1240,Варборн,Warborne
1297,Руины Двора Кингхарт,Ruins of Kinghart Court
1456,Старая Лачуга Викфорд,The Old Wickford Hovel
1644,Кладбище Хартхаус,The Hearthhouse Cemetery
14527,Жилище Старый Гирхауз,The Old Gaerhouse Place
36383,Погост Кингхаус,The Kinghouse Graveyard
39658,"Хостел ""Ондатра Короля""",The King's Muskrat Hostel
40426,Внутренний Восход Стендарра,Inner Sunrise of Stendarr
40639,Замок Вудтон,Castle Woodton
50109,Кладбище Мастервинг,The Masterwing Cemetery
51305,Монастырь Баалулены,The Convent of Baalulena
67150,Аркмор,Arkmore
87641,Холл Ламвич,Lamwych Hall
88705,Руины Лачуги Старой Элизольды,Ruins of Old Elyzolda's Hovel
100086,Плантация Муркрофт,The Moorcroft Plantation
102317,"Таверна ""Смеющаяся Фея""",The Laughing Fairy Tavern
118395,Погост Мастерфорд,The Masterford Graveyard
131233,Кладбище Хокстон,The Hawkston Cemetery
136870,Руины Старой Лачуги Гаерсли,Ruins of The Old Gaersly Hovel
145840,"Корчма ""Ржавый Ёж""",The Rusty Hedgehog Inn
150625,Ферма Старой Лисаузы,Old Lysausa's Farm
182888,Кроссвич,Crosswich
202962,Усадьба Мурфилд,The Moorfield Farmstead
254125,Театр Киран,Kieran Theatre
263832,"Таверна ""Багровый Кот""",The Crimson Cat Inn
273913,"Таверна ""Крот и Сурок""",The Mole and Woodchuck Tavern
276583,Внутренний Алтарь Дибеллы,Inner Altar of Dibella
277751,Тюрьма Грикткэ,The Prison of Grictke
280614,Гробница Корранота,Corranoth's Tomb
315721,Бубехда,Bubehda
316780,Усадьба Блильпта,The Blilpta Farmstead
325404,Замок Фааллем,Castle Faallem
343439,Руины Холла Кош,Ruins of Cosh Hall
363466,Бесконечный Оракул Мары,Infinite Oracle of Mara
382613,Особняк Кааркун,Caarcun Manor
389307,"Таверна ""Золотой Гном""",The Gold Gnome Inn
405246,Руины Особняка Тлолп'керн,Ruins of Tlolp'kern Manor
412637,Фруктовый Сад Флуван,Fluvan Orchard
414468,Культ Курпи,Kurpi Cultus
422217,Гробница Лителаус,The Tomb of Lithelaus
423852,Гробницы В'урмон,The V'urmon Tombs
431613,Ферма Старой Ривги,Old Rivga's Farm
449405,Дворец Грулдрн,Gruldrn Palace
451180,Даму-Ий,Damu-Ij
1049851,Весттейл,Westtale
1049876,Холд Виктона,Wickton's Hold
1050051,Усадьба Уикхем,The Wickham Farmstead
1050260,Жилище Старой Каролиррии,Old Carolyrrya's Place
1050578,Твой Корабль,Your Ship
1063105,Жилище Старый Мастервинг,The Old Masterwing Place
1087958,Усадьба Харткрофт,The Hearthcroft Farmstead
1089220,Особняк Мастерслей,Mastersley Manor
1089243,Стенающий Мученик Дибеллы,Wailing Martyr of Dibella
1090027,Броудвейл,Broadvale
1099687,Усадьба Букингфорд,The Buckingford Farmstead
1100860,Найтсбет,Knightsbeth
1116757,Монумент Дивад,Divad Monument
1136219,Вестчестер,Westcester
1140283,Святилище И'ффре,Shrine of Jephre
1150898,Крепость Йеомтон,The Stronghold of Yeomton
1151680,Старая Лачуга Вудхаус,The Old Woodhouse Shack
1166987,Обсерватория Антен,The Anten Aerie
1179833,Усадьба Ашвинг,The Ashwing Farmstead
1185449,Руины Особняка Эшфорд,Ruins of Ashford Manor
1194422,Усадьба Копперхэм,The Copperham Farmstead
1203200,Холл Гринсли,Greensly Hall
1231466,Болото Кроссдейл,Crossdale Moor
1252547,"Хостел ""Кружка Дьявола""",The Devil's Mug Hostel
1303690,Деревня Киркбет,Kirkbeth Hamlet
1313401,Холл Рлект,Rlect Hall
1323474,"Сторожка ""Перо и Ёж""",The Feather and Hedgehog Lodge
1326162,Особняк Раалд'керн,Raald'kern Manor
1327340,Холл Бларкан,Blarcan Hall
1330211,Радостный Алтарь Аркея,Joyous Altar of Arkay
1364299,Двор Мауч,Mauch Court
1366353,Призрак Барогана,The Haunt of Baroghan
1373982,Усадьба Селпар,The Selpar Farmstead
1412060,Гнездо Войтрака,The Nest of Vojthrac
1435144,"Хостел ""Летящая Коза""",The Flying Goat Hostel
1439881,Цетинкат,Tsetinkat
1453839,Башня Т'овер,T'over Tower
1463221,Подземелье Хурнен,The Khurnen Vaults
1465038,Святой Алтарь Мары,Holy Altar of Mara
1472441,"Хостел ""Летающий Барсук""",The Flying Badger Hostel
1472793,"Сторожка ""Жаждущий Олень""",The Thirsty Stag Lodge
1481187,Руины Лачуги Старого Крошти,Ruins of Old Kroshti's Hovel
1497991,Карьер Форттен,The Forhtten Pit
1499762,Лачуга Старой Д'урдка,Old D'urdca's Shack
