Key,Value
0,"СИЛА[/center]
Сила определяет нагруженность, наносимый вред[/left]
и облегчает рост навыков, связанных с нею.[/left]
С силой, равной %str, вас можно назвать %ark[/left]
[/pos:x=20,y=0]%dam [/pos:x=40,y=0]дополнительно к вреду, наносимому[/left]
[/pos:x=40,y=0]голыми руками или оружием.[/left]
[/pos:x=20,y=0]%enc [/pos:x=40,y=0]килограмм - максимальный вес носимого[/left]
[/pos:x=40,y=0]имущества.[/end]"
1,"ИНТЕЛЛЕКТ[/center]
Умственные способности определяют магический потенциал[/left]
и облегчают рост навыков, связанных с ними.[/left]
С умом равным %int, вас можно считать %ark.[/left]
[/pos:x=20,y=0]%spc из %spt магических очков доступно[/left]
[/pos:x=40,y=0]для вызова заклятий.[/left]
[/end]"
2,"СИЛА ВОЛИ[/center]
Сила воли определяет сопротивление к эффектам заклинаний[/left]
и облегчает рост навыков, связанных с нею.[/left]
С силой воли, равной %wil, вас можно считать %ark.[/left]
[/pos:x=20,y=0]+%mad [/pos:x=40,y=0]дополнительно к вашему сопротивлению магии.[/left]
[/end]"
3,"ЛОВКОСТЬ[/center]
Ловкость управляет возможностью ударить мишень,[/left]
избежать ее удара, и облегчает рост навыков,[/left]
связанных с нею. С вашей ловкостью, равной %agi,[/left]
вас можно считать %ark.[/left]
[/pos:x=20,y=0]%thd [/pos:x=40,y=0]дополнительно к вашим боевым успехам.[/left]
[/end]"
4,"ВЫНОСЛИВОСТЬ[/center]
Выносливость влияет на очки жизни, скорость лечения,[/left]
сопротивление к ядам и болезням, а так же на усталость.[/left]
С выносливостью, равной  %end, вас можно считать %ark.[/left]
[/pos:x=20,y=0]%hea [/pos:x=40,y=0]дополнительно к количеству очков жизни,[/left]
[/pos:x=40,y=0]которые вы получаете с новым уровнем.[/left]
[/pos:x=20,y=0]%hmd [/pos:x=40,y=0]дополнительно к скорости вашего лечения.[/left]
[/end]"
5,"ХАРАКТЕР[/center]
Характер управляет легкостью роста навыков,[/left]
связанных с ним. С характером, равным %per,[/left]
вас можно считать %ark.[/left]
[/end]"
6,"СКОРОСТЬ[/center]
Скорость управляет скоростью перемещения, временем[/left]
на перезарядку, и всеми навыками, связанными со скоростью.[/left]
Со скоростью, равной %spd, вас можно считать[/left]
%ark.[/left]
[/end]"
7,"УДАЧА[/center]
Удача - могущественное дополнение к предпринимаемым вами[/left]
действиям. Навыков, где удача является главным атрибутом,[/left]
нет, но все ваши успехи зависят от того, насколько ваша[/left]
удача повлияла на попытку использовать какой-нибудь навык.[/left]
С удачей, равной %luc, вас можно считать %ark.[/left]
[/end]"
8,"Обучение будет стоить вам %a.[/center]
Будете тренироваться?[/end]"
10,Думаю что-то может быть вот здесь: %fcn.[/end]
11,"Ничего в голову не приходит.[/record]
Я честно не могу сказать тебе.[/record]
Действительно не знаю...[/record]
Попробуй спросить кого-нибудь другого.[/record]
Даже и не говори; ничего не знаю.[/end]"
12,В вашей книге нет заклинаний.[/end]
13,"Места с таким названием[/center]
нет на вашей карте.[/center]
[/end]"
14,Вам необходимо распределить свои бонусные очки.[/end]
15,Сдаетесь городской страже?[/end]
16,Вы запрашиваете слишком много дней вперед.[/end]
17,Запрещено делать привал на улицах города или рядом с его стенами.[/end]
18,Вы здоровы.[/end]
19,Вы не состоите ни в одной организации.[/end]
