Key,Value
weaponSwingModes,"Ванильный
Клик
Удержание"
mouseLookSmoothingStrengths,"Нет
Самое низкое
Низкое
Среднее
Высокое
Самое высокое"
configureAdvancedControls,Настройка расширенных управляющих элементов
continueUpper,ПРОДОЛЖИТЬ
mouseLookSmoothing,Сглаживание движения мыши
mouseLookSensitivity,Чувствительность мыши при взгляде
invertLookY,Инвертировать ось Y взгляда
movementAcceleration,Ускорение движения
weaponSwingMode,Режим удара оружием
bowDrawback,Луки - натягивание и отпускание
toggleSneak,Переключение скрытности
mouseWeaponAttackThreshold,Порог атаки оружия мышью
Escape,Выход
AutoRun,Автобег
ToggleConsole,Консоль
PrintScreen,Скриншот
QuickSave,Быстрое сохранение
QuickLoad,Быстрая загрузка
close,Закрыть
dungeonTextureModes,"Классический
Климат
Только климат
Случайный
Только случайный"
cameraRecoilStrengths,"Выкл. (Off)
Низкое (25%)
Среднее (50%)
Высокое (75%)
Очень высокое (100%)"
interactionModeIconModes,"Нет
Минимальный
Большой
Классический
Цветной
Монохромный
Классический прицел
Цветной прицел"
iconsPositioningSchemes,"Классический
Средний
Маленький
Маленькая панель слева
Маленькая панель справа
Маленькая вертикальная слева
Маленькая вертикальная справа
Маленькая горизонтальная снизу"
helmAndShieldMaterialDisplay,"Выкл.
Без кожаной цепи
Без кожи
Вкл."
qualitySettings,"Самый быстрый
Быстрый
Простой
Хороший
Красивый
Фантастический"
filterModes,"Точечная
Билинейная
Трилинейная"
shadowResolutionModes,"Низкое
Среднее
Высокое
Очень высокое"
textureArrayLabel,Массивы текстур:
unsupported,Неподдерживается
enabled,Включено
disabled,Отключено
textureArrayInfo,"Улучшенная реализация текстур местности с лучшей производительностью и поддержкой модификации"
