Key,Value
about_internal_strings,"В этой таблице строк хранится текст, который был жёстко закодирован в FALL.EXE и текст, уникальный для Daggerfall Unity."
pleaseSelectYourHomeProvince,"Пожалуйста, выберите свою родную провинцию..."
saveGame,Сохранить игру
loadGame,Загрузить игру
thingJustDied,%s погибает.
gameSaved,Игра сохранена.
gameLoaded,Игра загружена.
thisHouseHasNothingOfValue,В этом доме нет ничего ценного.
findLocationPrompt,"Введите название места: "
rightHandEquipped,Правая рука экипирована.
leftHandEquipped,Левая рука экипирована.
usingRightHand,Используется оружие в правой руке.
usingLeftHand,Используется оружие в левой руке.
itemHasBroken,%s сломано.
itemHasBrokenPlural,%s сломаны.
cannotCarryGold,Вы не можете унести столько золота.
cannotFloat,"Вы несете слишком много, чтобы удержаться на плаву."
youHaveNoArrows,У вас нет стрел.
oldSaveNoTrade,"Загружено старое сохранение в помещении, окно торговли не будет работать, пожалуйста, выйдите и снова войдите в здание."
theBodyHasNoTreasure,Ничего нет.
youAreTooFarAway,Вы слишком далеко...
youSeeAn,Это %s.
youSeeA,Это %s.
youSeeADeadPerson,Это мёртвый человек.
youSeeADead,Это мёртвый %s.
youCollectArrows,Вы выдёргиваете свои стрелы из трупа.
loiterHowManyHours,"Сколько часов бездельничать: "
restHowManyHours,"Сколько часов отдыхать: "
potionRecipeFor,Рецепт Зелья %po
potionOf,Зелье %po
letterPrefix,"Письмо: "
multipleAssignments,У вас несколько заданий...
youAreEntering,Теперь вы в %s
storeClosed,Магазин закрыт. Часы работы с %d1:00 до %d2:00.
guildClosed,Гильдия закрыта. Часы работы с %d1:00 до %d2:00.
any,любой %s
arkayDesc,Бог Рождения и Смерти
zenDesc,Бог Труда и Торговли
maraDesc,Богиня Любви
akatoshDesc,Бог Времени
julianosDesc,Бог Логики
dibellaDesc,Богиня Красоты
stendarDesc,Бог Милосердия
kynarethDesc,Богиня Воздуха
interactionIsNowInMode,Режим взаимодействия - %s.
steal,кража
grab,взять
info,информация
dialogue,разговор
residence,Резиденция
youSee,Это %s.
theNamedResidence,Резиденция %s
playerResidence,Дом %s
materialIneffective,"Материал оружия неэффективен."
successfulBackstab,Успешный удар в спину!
languagePacified,"%e усмирен навыком %s"
lockpickingSuccess,Замок со щелчком открывается.
lockpickingFailure,Не разблокируется.
magicLock,Это магический замок...
lockpickChance1,Этому замку нечего вас бояться...
lockpickChance2,"Было бы чудом, если бы вы взломали этот замок..."
lockpickChance3,"Этот замок, похоже, за пределами ваших навыков..."
buildingNames,"Храм Акатоша
Храм Аркея
Храм Дибеллы
Храм Джулианоса
Храм Кинарет
Храм Мары
Храм Стендарра
Храм Зен
Орден Ворона
Рыцари Дракона
Рыцари Совы
Орден Свечи
Рыцари Пламени
Воинство Горна
Рыцари Розы
Рыцари Колеса
Орден Скарабея
Рыцари Ястреба
Гильдия Магов
Гильдия Бойцов
Таверна
Библиотека
Кузнец
Оружейник
Алхимик
Банк
Книжный магазин
Магазин одежды
Ювелирный магазин
Ломбард"
lockpickChance,"Вы сомневаетесь в своей способности открыть этот замок...
Этот замок выглядит сложным...
Этот замок бросил бы вам вызов...
Этот замок оказался бы хорошим испытанием...
Вы думаете, что сможете взломать этот замок...
Этот замок кажется относительно простым...
Вас забавляет этот замок...
Вы смеётесь над качеством этого замка...
Вы видите жалкое подобие замка...
Этот замок - оскорбление ваших способностей..."
youPinchedGoldPiece,Вы стащили 1 золотую монету.
youPinchedGoldPieces,Вы стащил %d золотых монет.
youAreNotSuccessful,Вы не добились успеха...
daysUntilFreedom,%d дней до свободы.
skillImprove,Ваш навык %s улучшился.
mustDistributeBonusPoints,Вы должны распределить все бонусные очки.
enterNewName,"Введите новое имя: "
affiliation,Организации
rank,Ранг
serviceQuests,Получить задание
serviceSell,Продать
serviceBanking,Банковские услуги
serviceIdentify,Идентифицировать
serviceBuySpells,Купить Заклинания
serviceTraining,Обучение
serviceTeleport,Телепортация
serviceMakeSpells,Создать заклинания
serviceBuyMagicItems,Купить магические предметы
serviceSellMagicItems,Продать магические предметы
serviceDaedraSummon,Вызов даэдра
serviceMakeMagicItems,Изготовление магических предметов
serviceRepairs,Ремонт
serviceDonate,Сделать пожертвование
serviceCure,Вылечить болезнь
serviceSpymaster,Шпионаж
serviceMakePotions,Изготовление зелий
serviceBuyPotions,Купить зелья
serviceBuySoulgems,Купить камни душ
serviceReceiveArmor,Получить броню
serviceReceiveHouse,Получить дом
serviceReceiveHouseAlready,Вы уже получили свой дом.
accessMembersOnly,"Чтобы получить доступ, необходимо иметь более высокий ранг."
serviceCured,Вы исцелены.
serviceSummonCost1,"%pcn, плата за мою попытку "
serviceSummonCost2,"вызова %dae составит "
serviceSummonCost3," золотых."
roomFreeForKnightSuchAsYou,"Комната бесплатна для такого рыцаря, как вы."
roomFreeDueToHeartsDay,Комната бесплатна в связи с Днём Сердца.
youAreNotHungry,Вы не голодны.
exhaustedInWater,Усталость одолевает вас и отправляет в водяную могилу...
youFeelSomewhatBad,У вас плохое самочувствие
avoidDeath,"По милости Стендарра, вы пережили верную смерть!"
pronounHe,он
pronounShe,она
pronounHim,ему
pronounHer,ей
pronounHis,его
pronounHers,её
pronounHimself,сам
pronounHerself,сама
city,город
village,деревня
hamlet,деревушка
farm,ферма
shack,хижина
manor,поместье
community,община
shrine,святилище
King,Король
Queen,Королева
Duke,Герцог
Duchess,Герцогиня
Marquis,Маркиз
Marquise,Маркиза
Count,Граф
Countess,Графиня
Baron,Барон
Baroness,Баронесса
Lord,Лорд
Lady,Леди
revered,почтенный
esteemed,почётный
honored,заслуженный
admired,восхитительный
respected,уважаемый
dependable,надёжный
aCommonCitizen,обычный гражданин
hated,ненавистный
pondScum,мразь
aVillain,злодей
aCriminal,преступник
aScoundrel,негодяй
undependable,ненадёжный
unknown,unknown
Broken,Сломанный
Useless,Бесполезный
Battered,Потрёпанный
Worn,Изношенный
Used,Поношенный
SlightlyUsed,Слегка поношенный
AlmostNew,Почти Новый
New,Новый
Nothing,Ничего
local,местный
tavern,таверна
Attempted_Breaking_And_Entering,Попытка взлома и проникновения
Trespassing,Незаконное проникновение
Breaking_And_Entering,Взлом и проникновение
Assault,Налёт
Murder,Убийство
Tax_Evasion,Уклонение от уплаты налогов
Criminal_Conspiracy,Преступный сговор
Vagrancy,Бродяжничество
Smuggling,Контрабанда
Piracy,Пиратство
High_Treason,Государственная измена
Pickpocketing,Карманная кража
Theft,Кража
Treason,Предательство
Loan_Default,Просрочка по займу
Regular_Punishment_String,штраф %gtp золотых и %dip дней в тюрьме
Banishment,Изгнание
Execution,Казнь
cannotChangeTransportationIndoors,Вы не можете изменить способ передвижения в помещении.
cannotTravelWithEnemiesNearby,"Вы не можете путешествовать, когда поблизости враги."
cannotTravelIndoors,"Вы не можете путешествовать, находясь в помещении."
powersUnknown,Обладает неизвестными силами.
itemPowers,"Каст при использовании:
Каст при удержании:
Кастовать при ударе:
Дополнительные очки заклинаний
Потенциал против
Восстанавливает здоровье
Вампирический эффект
Увеличение веса
Ремонтирует предметы
Поглощает заклинания
Улучшает навыки
Вес перьев
Укрепляет доспехи
Улучшает таланты
Хорошо сочетается с
Привязанность души
Предмет портится
Пользователь получает урон
Проблемы со зрением
Проблемы с ходьбой
Низкий урон против
Пиявка здоровья
Плохие реакции
Дополнительный вес
Ослабляет броню
Плохое отношение к"
enemyNames,"Крыса
Бес
Спригган
Гигантская летучая мышь
Медведь гризли
Саблезубый тигр
Паук
Орк
Кентавр
Вервольф
Нимфа
Рыба-убийца
Орк сержант
Гарпия
Вервепрь
Скелет воин
Великан
Зомби
Привидение
Мумия
Гигантский скорпион
Орк шаман
Горгулья
Призрак
Орк Полководец
Ледяной даэдра
Огненный даэдра
Даэдрот
Вампир
Даэдра-сооблазнитель
Древний вампир
Лорд Даэдра
Лич
Древний Лич
Драгонлинг
Огненный Атронах
Железный Атронах
Атронах из плоти
Ледяной Атронах
Лошадь
Драгонлинг
Дреуг
Ламия
Маг
Воин слова
Боевой маг
Колдун
Лекарь
Меч ночи
Бард
Взломщик
Жулик
Акробат
Вор
Ассассин
Монах
Лучник
Рейнджер
Варвар
Воин
Рыцарь
Городской стражник"
