- Text database for Daggerfall Unity main menu and setup wizard.

schema: *key,$text

resolution,                 "Разрешение"
fullscreen,                 "Полноэкранный режим"
quality,                    "Качество"
play,                       "Играть"
mods,                       "Моды"
advanced,                   "Расширенные"
restart,                    "Перезапустить"
restartInfo,                "Перезапустить настройку с самого начала"
exit,                       "Выйти"
modNote,                    "Примечание: Включение модов может увеличить требования к производительности."

alwayShowOptions,           "Всегда отображать это окно"
alwayShowOptionsInfo,       "Всегда отображать это окно при запуске\rВ противном случае используйте settings.ini для настройки"
vsync,                      "Вертикальная синхронизация"
vsyncInfo,                  "Синхронизировать FPS с частотой обновления монитора"
swapHealthAndFatigue,       "Поменять местами здоровье и усталость"
swapHealthAndFatigueInfo,   "Поменять местами цвета полоски здоровья и усталости"
invertMouseVertical,        "Инвертировать мышь"
invertMouseVerticalInfo,    "Инвертировать вертикальный взгляд мыши"
mouseSmoothing,             "Сглаживание обзора мышью"
mouseSmoothingInfo,         "Степень сглаживания камеры от первого лица"
leftHandWeapons,            "Леворукие оружия"
leftHandWeaponsInfo,        "Отрисовывать оружие на левой стороне экрана"
playerNudity,               "Нагота персонажа"
playerNudityInfo,           "Разрешить наготу на кукле игрока"
weaponSwingMode,            "Режим атаки оружия"
weaponSwingModeInfo,        "Включить клик или удержание для совершения атак"
sdfFontRendering,           "Шрифты SDF"
sdfFontRenderingInfo,       "Включить для сглаживания шрифтов на высоких разрешениях"
enableController,           "Включить контроллер"
enableControllerInfo,       "Разрешить обнаружение и использование джойстиков и других контроллеров в игре."

findArena2Tip,              "Совет: Daggerfall содержит папку с названием 'arena2'."
foundArena2But,             "Обнаружена папка 'arena2', но:"
missingTextures,            "отсутствует один или несколько файлов TEXTURE."
missingModels,              "отсутствует ARCH3D.BSA."
missingBlocks,              "отсутствует BLOCKS.BSA."
missingMaps,                "отсутствует MAPS.BSA."
missingSounds,              "отсутствует DAGGER.SND."
missingWoods,               "отсутствует WOODS.WLD."
missingVideos,              "отсутствует один или несколько файлов .VID."
justNotValid,               "папка не кажется настоящая."
pathValidated,              "Отлично! Это выглядит как настоящая папка Daggerfall :)"
testText,                   "Тест"
okText,                     "OK"
keepSetting,                "Сохранить эту настройку? Изменения будут отменены через 8 секунд."
incompatibleMods,           "Один или несколько модов несовместимы с текущей версией игры.\rПожалуйста, проверьте окно модов для получения дополнительных сведений.\rВы хотите продолжить?"
showOptionsAgain,           "Удерживайте клавишу Shift при запуске Daggerfall Unity, чтобы снова отобразить лаунчер."
