- Text database for mod and mod settings windows.

schema: *key,$text

modLoadPriority,            "Приоритет загрузки"
modTitle,                   "Выбрано"
modDescription,             "Описание мода"
modVersion,                 "Версия"
modAuthor,                  "Автор"
modAuthorContact,           "Контакт"
modDFTFUVersion,            "Версия DFUnity"

emptyTitle,                 "<Заголовок>"
missingTitle,               "<Неизвестно>"
emptyDescription,           "<Описание>"
missingDescription,         "<Отсутствует описание>"
title,                      "Заголовок"
description,                "Описание"
author,                     "Автор"
ok,                         "OK"
versionMismatch,            "Несоответствие версий!"

increase,                   "Выше"
lower,                      "Ниже"
enableAll,                  "Все вкл."
enableAllInfo,              "Включить все"
disableAll,                 "Все выкл."
disableAllInfo,             "Выключить все"
enabled,                    "Включено"
enabledInfo,                "Переключить мод"
refresh,                    "Обновить"
refreshInfo,                "Проверить изменения в директории модов"
saveClose,                  "Сохранить и закрыть"
saveCloseInfo,              "Сохранить изменения и вернуться в меню настроек"
extractText,                "Извлечь текст"
extractTextInfo,            "Извлечь текстовые ресурсы"
extractTextConfirmation,    "Все текстовые ресурсы из этого мода были извлечены в {0}."
new,                        "Новый"
load,                       "Загрузить"
save,                       "Сохранить"
delete,                     "Удалить"
cancel,                     "Отмена"
export,                     "Экспорт"
exportMessage,              "{0} будет экспортирован в {1}."
reset,                      "Сброс"
resetConfirmation,          "Вернуть все настройки к значениям по умолчанию?"
cleanConfigurationDir,      "Найдены файлы конфигурации для неизвестных или неустановленных модов. Хотите их удалить?"

backToOptions,              "Настройки"
backToOptionsInfo,          "Вернуться к настройкам без сохранения изменений"
modsFound,                  "Обнаружены моды"
settings,                   "Настройки"
settingsInfo,               "Изменить настройки мода"
presets,                    "Пресеты"

presetCreator,              "Создатель пресетов"
presetNewInfo,              "Создать новый пресет на основе текущих настроек."
presetLoadInfo,             "Загрузить и применить пресет к текущим настройкам."
presetSaveInfo,             "Сохранить текущие настройки в выбранный пресет."
presetDeleteInfo,           "Удалить выбранные пресеты."
presetExportInfo,           "Экспортировать выбранный пресет в файл, которым можно поделиться."
titleOrDescriptionMissing,  "Заголовок и описание - обязательные поля."

dependencyErrorMessage,                 "Один или несколько модов могут работать неправильно:"
dependencyIsMissing,                    "Не удалось получить мод {0}"
dependencyNotEnabled,                   "Зависимость мода {0} не включена"
dependencyWithIncorrectPosition,        "{0} должен находиться выше в порядке загрузки"
dependencyWithIncompatibleVersion,      "{0} имеет версию {1}, но требуется {2} или выше"
sortModsQuestion,                       "Хотите ли вы автоматически отсортировать моды?"
gameVersionUnsatisfied,                 "Требуется Daggerfall Unity версии {0} или выше"
