- Text database for mod LoadingScreen.
- how to use: translate and place this file named mod_filename.txt inside StreamingAssets/Text. Note that an english table is NOT mandatory.

schema: *key, $text

- Mod details
Mod.Description, "Настройки загрузочного экрана с поддержкой фоновых изображений и различных пресетов."

- Settings
Settings.UiSettings.Name, "Настройки интерфейса"
Settings.UiSettings.GuiDepth.Name, "Глубина графического интерфейса"
Settings.UiSettings.GuiDepth.Description, "Глубина сортировки экрана загрузки в графическом интерфейсе."
Settings.General.Name, "Основные"
Settings.General.Description, "Основные функции загрузочного экрана."
Settings.General.Dungeons.Name, "Подземелья"
Settings.General.Dungeons.Description, "Показывать экран загрузки при входе/выходе из подземелий."
Settings.General.Buildings.Name, "Здания"
Settings.General.Buildings.Description, "Показывать экран загрузки при входе/выходе из зданий."
Settings.General.ShowForMinimum.Name, "Показывать минимум (сек.)"
Settings.General.ShowForMinimum.Description, "Минимальное время в секундах, в течение которого заставка будет отображаться на экране."
Settings.General.PressAnyKey.Name, "Нажмите любую клавишу"
Settings.General.PressAnyKey.Description, "Отобразить экран 'Нажмите любую клавишу' после загрузки."
Settings.General.DeathScreen.Name, "Экран Смерти"
Settings.General.DeathScreen.Description, "Показывать экран смерти при гибели игрока."
Settings.DeathScreen.Name, "Экран Смерти"
Settings.DeathScreen.Enable.Name, "Вкл."
Settings.DeathScreen.Enable.Description, "Показывать экран смерти при гибели игрока."
Settings.DeathScreen.DisableVideo.Name, "Выключить видео"
Settings.DeathScreen.DisableVideo.Description, "Не показывать ролик перед экраном смерти"
Settings.LoadingLabel.Name, "Текст загрузки"
Settings.LoadingLabel.Enable.Name, "Вкл."
Settings.LoadingLabel.Font.Name, "Шрифт"
Settings.LoadingLabel.FontSize.Name, "Размер шрифта"
Settings.LoadingLabel.FontColor.Name, "Цвет шрифта"
Settings.LoadingLabel.FontStyle.Name, "Стиль шрифта"
Settings.LoadingLabel.Position.Name, "Позиция"
Settings.LoadingLabel.LoadingText.Name, "Текст загрузки"
Settings.LoadingLabel.IsDynamic.Name, "Динамический"
Settings.LoadingLabel.EndText.Name, "Текст экрана окончания"
Settings.LoadingLabel.DeathText.Name, "Текст экрана смерти"
Settings.Tips.Name, "Советы и подсказки"
Settings.Tips.Description, "Показывать советы и подсказки по миру Даггерфолла."
Settings.Tips.Enable.Name, "Вкл."
Settings.Tips.Font.Name, "Шрифт"
Settings.Tips.FontColor.Name, "Цвет шрифта"
Settings.Tips.FontStyle.Name, "Стиль шрифта"
Settings.Tips.Position.Name, "Позиция"
Settings.Tips.Size.Name, "Размер"
Settings.Quests.Name, "Задания"
Settings.Quests.Description, "Показывает сообщения о текущих заданиях."
Settings.Quests.Enable.Name, "Вкл."
Settings.Quests.Font.Name, "Шрифт"
Settings.Quests.FontColor.Name, "Цвет шрифта"
Settings.Quests.FontStyle.Name, "Стиль шрифта"
Settings.Quests.Position.Name, "Позиция"
Settings.Quests.Size.Name, "Размер"
Settings.LevelProgress.Name, "Прогресс"
Settings.LevelProgress.Description, "Прогресс-бар уровня игрока."
Settings.LevelProgress.Enable.Name, "Вкл."
Settings.LevelProgress.Text.Name, "Текст"
Settings.LevelProgress.Font.Name, "Шрифт"
Settings.LevelProgress.FontColor.Name, "Цвет шрифта"
Settings.LevelProgress.Position.Name, "Позиция"
Settings.LevelProgress.Size.Name, "Размер"
Settings.EnemyPreview.Name, "Противники"
Settings.EnemyPreview.Description, "Показывает изображение случайного врага."
Settings.EnemyPreview.Enable.Name, "Вкл."
Settings.EnemyPreview.Position.Name, "Позиция"
Settings.EnemyPreview.Size.Name, "Размер"
Settings.EnemyPreview.Background.Name, "Задний фон"
Settings.EnemyPreview.Background.Description, "Задний фон с надписью."
Settings.ModelViewer.Name, "Просмотр моделей"
Settings.ModelViewer.Description, "Случайная 3D модель с туманом."
Settings.ModelViewer.Enable.Name, "Вкл."
Settings.ModelViewer.HorizontalPosition.Name, "Горизонтальное положение"
Settings.ModelViewer.FilmicTonemapping.Name, "Тональное отображение"

- Presets
Presets.Big dots.Title, "Большие точки"
Presets.Big dots.Description, "Простой и чистый экран загрузки."
Presets.Dishonored 2.Title, "Dishonored 2"
Presets.Dishonored 2.Description, "Экран загрузки как в Dishonored 2"
Presets.Skyrim.Title, "Skyrim"
Presets.Skyrim.Description, "Экран загрузки как в Skyrim"
Presets.Skyrim Sprites.Title, "Skyrim Sprites"
Presets.Skyrim Sprites.Description, "Экран загрузки как в Skyrim, но со спрайтами."
Presets.Oblivion.Title, "Oblivion"
Presets.Oblivion.Description, "Экран загрузки как в Oblivion"

- Additional strings which can be accessed from Mod.Localize().
- Default values can be provided with a table named textdatabase.txt inside the mod bundle.

